AC_ID,AC_Title,User_Story,BDD_Feature_File,BDD_Feature_Type,BDD_Scenario_Count,Test_Type,Coverage_Status,Feature_Flag,Priority
AC-009-1,Battle records page shows last 20 battles per pet (public),US-RECORD-001,battle-records.feature,server,7,BDD,Covered,,P0
AC-009-2,Records include outcome/opponent/timestamp for each battle,US-RECORD-001,battle-records.feature,client,19,Integration,Covered,,P0
AC-009-3,Record page URL is shareable; includes Open Graph meta tags,US-RECORD-001,battle-records.feature,client,19,Integration,Covered,,P0
AC-010-1,Rarity determined by weighted distribution: Common 60% / Rare 25% / Epic 12% / Legendary 3%,US-RARITY-001,rarity-distribution.feature,server,5,Unit,Covered,FF_RARITY_DISPLAY,P1
AC-010-2,Rarity persists across pet lifecycle; visible on leaderboard,US-RARITY-001,leaderboard-ui.feature,client,10,Visual Regression,Covered,FF_RARITY_DISPLAY,P1
AC-010-3,Legendary pets show special border/glow effect on UI,US-RARITY-001,leaderboard-ui.feature,client,10,Visual Regression,Covered,FF_RARITY_DISPLAY,P1
AC-011-1,Admin can view all pets in management table,US-ADMIN-001,admin-moderation.feature,server,11,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-011-2,Admin can search pets by name/ID; results return within 2 seconds for ≤1M records,US-ADMIN-001,admin-search-performance.feature,server,6,Performance,Covered,FF_ADMIN_PORTAL,P0
AC-011-3,Admin can ban pet; pet removed from arena/leaderboard,US-ADMIN-001,admin-moderation.feature,server,11,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-011-4,Ban action logged in audit log with reason/admin_id/timestamp,US-ADMIN-001,admin-moderation.feature,server,11,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-012-1,Admin can flag suspicious battle activity for review,US-ADMIN-002,leaderboard.feature,server,8,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-012-2,Suspicious activity defined: >50 battles per hour rolling window,US-ADMIN-002,leaderboard.feature,server,8,Security,Covered,FF_ADMIN_PORTAL,P0
AC-012-3,Flagged pets highlighted in leaderboard UI for admin review,US-ADMIN-002,admin-portal.feature,client,13,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-013-1,Admin can tune rate limit: battles per hour [1..50] range,US-ADMIN-003,admin-portal.feature,client,13,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-013-2,Admin can tune rarity weights: maintain sum = 100%,US-ADMIN-003,admin-portal.feature,client,13,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-013-3,Config changes cached; refresh within 5 minutes,US-ADMIN-003,admin-portal.feature,client,13,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-014-1,Player can request GDPR erasure via account settings,US-ADMIN-004,gdpr-erasure.feature,server,8,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-014-2,Erasure request triggers: email_encrypted set to NULL within 24 hours (internal SLA),US-ADMIN-004,gdpr-erasure.feature,server,8,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-014-3,User notified of erasure completion within 7 days (external SLA),US-ADMIN-004,gdpr-erasure.feature,server,8,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-014-4,Claim codes and recovery links invalidated on erasure,US-ADMIN-004,gdpr-erasure.feature,server,8,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-015-1,System detects bot-like behavior: >50 battles per 60-min rolling window,US-ADMIN-005,suspicious-detection.feature,server,3,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-015-2,Suspicious pets flagged in admin UI; admin can ban/investigate,US-ADMIN-005,suspicious-detection.feature,server,3,BDD,Covered,FF_ADMIN_PORTAL,P0
AC-015-3,Audit log records detection event with reason/timestamp,US-ADMIN-005,suspicious-detection.feature,server,3,Integration,Covered,FF_ADMIN_PORTAL,P0
AC-018-1,Admin can edit food buff multipliers (float 0.5–5.0x) and arena entry cost/cooldown,US-ADMIN-006,economy-config.feature,server,6,BDD,Covered,FF_ADMIN_PORTAL,P1
AC-018-2,Configuration change requires preview confirmation before saving,US-ADMIN-006,economy-config.feature,server,6,BDD,Covered,FF_ADMIN_PORTAL,P1
AC-018-3,Saved configuration takes effect within 5 minutes via cache refresh,US-ADMIN-006,economy-config.feature,server,6,Integration,Covered,FF_ADMIN_PORTAL,P1
AC-018-4,Audit log records admin_id/timestamp/field/old_value/new_value for every change,US-ADMIN-006,economy-config.feature,server,6,Integration,Covered,FF_ADMIN_PORTAL,P1
